root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
,,2021-05-03,,Forest Road Acquisition Corp.,"BODI, BODYW",0001826889,1826889,"New York, New York",Delaware,333-253136,21884779,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-253136&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826889/000119312521148233/0001193125-21-148233-index.html,https://www.sec.gov/Archives/edgar/data/1826889/000119312521148233/d111487ds4a.htm
,,2021-07-09,,GOOD WORKS ACQUISITION CORP.,"CIFR, CIFRW",0001819989,1819989,"Houston, Texas",Delaware,333-256115,211083494,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256115&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819989/000119312521211971/0001193125-21-211971-index.html,https://www.sec.gov/Archives/edgar/data/1819989/000119312521211971/d127963ds4a.htm
,,2021-08-02,,GOOD WORKS ACQUISITION CORP.,"CIFR, CIFRW",0001819989,1819989,"Houston, Texas",Delaware,333-256115,211136525,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256115&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819989/000119312521233343/0001193125-21-233343-index.html,https://www.sec.gov/Archives/edgar/data/1819989/000119312521233343/d127963d424b3.htm
,,2021-07-23,,LEGG MASON PARTNERS INCOME TRUST,,0000764624,764624,"New York, New York",Maryland,811-04254,211109423,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04254&action=getcompany,https://www.sec.gov/Archives/edgar/data/764624/000119312521222561/0001193125-21-222561-index.html,https://www.sec.gov/Archives/edgar/data/764624/000119312521222561/d309117d485bpos.htm
,,2021-05-14,,ArcLight Clean Transition Corp.,,0001820630,182063,"Boston, Massachusetts",Cayman Islands,333-252674,21924691,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-252674&action=getcompany,https://www.sec.gov/Archives/edgar/data/182063/000121390021026418/0001213900-21-026418-index.html,https://www.sec.gov/Archives/edgar/data/182063/000121390021026418/f424b30521_arclight.htm
,,2021-03-24,,LEGG MASON PARTNERS INCOME TRUST,,0000764624,764624,"New York, New York",Maryland,811-04254,21766952,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04254&action=getcompany,https://www.sec.gov/Archives/edgar/data/764624/000119312521092098/0001193125-21-092098-index.html,https://www.sec.gov/Archives/edgar/data/764624/000119312521092098/d123412d485bpos.htm
,,2021-05-19,,Forest Road Acquisition Corp.,"BODI, BODYW",0001826889,1826889,"New York, New York",Delaware,333-253136,21938505,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-253136&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826889/000119312521166126/0001193125-21-166126-index.html,https://www.sec.gov/Archives/edgar/data/1826889/000119312521166126/d111487ds4a.htm
,,2021-08-11,,Pioneer Merger Corp.,,0001829797,1829797,"New York, New York",Cayman Islands,333-257305,211164130,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-257305&action=getcompany,https://www.sec.gov/Archives/edgar/data/1829797/000110465921103521/0001104659-21-103521-index.html,https://www.sec.gov/Archives/edgar/data/1829797/000110465921103521/tm2116619-9_s4a.htm
,,2021-02-03,,ArcLight Clean Transition Corp.,,0001820630,182063,"Boston, Massachusetts",Cayman Islands,333-252674,21583792,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-252674&action=getcompany,https://www.sec.gov/Archives/edgar/data/182063/000121390021006287/0001213900-21-006287-index.html,https://www.sec.gov/Archives/edgar/data/182063/000121390021006287/fs42021_arclightclean.htm
,,2021-04-01,,Silver Spike Acquisition Corp.,"MAPS, MAPSW",0001779474,1779474,"Grand Cayman, Cayman Islands",Cayman Islands,333-252186,21799491,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-252186&action=getcompany,https://www.sec.gov/Archives/edgar/data/1779474/000114036121011291/0001140361-21-011291-index.html,https://www.sec.gov/Archives/edgar/data/1779474/000114036121011291/nt10018014x4_s4a.htm
,,2021-06-23,,Pioneer Merger Corp.,,0001829797,1829797,"New York, New York",Cayman Islands,333-257305,211037014,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-257305&action=getcompany,https://www.sec.gov/Archives/edgar/data/1829797/000110465921084323/0001104659-21-084323-index.html,https://www.sec.gov/Archives/edgar/data/1829797/000110465921084323/tm2116619-3_s4.htm
,,2021-05-07,,ArcLight Clean Transition Corp.,,0001820630,182063,"Boston, Massachusetts",Cayman Islands,333-252674,21901770,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-252674&action=getcompany,https://www.sec.gov/Archives/edgar/data/182063/000121390021025082/0001213900-21-025082-index.html,https://www.sec.gov/Archives/edgar/data/182063/000121390021025082/fs42021a2_arclightclean.htm
,,2021-03-12,,Silver Spike Acquisition Corp.,"MAPS, MAPSW",0001779474,1779474,"Grand Cayman, Cayman Islands",Cayman Islands,333-252186,21734447,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-252186&action=getcompany,https://www.sec.gov/Archives/edgar/data/1779474/000114036121008222/0001140361-21-008222-index.html,https://www.sec.gov/Archives/edgar/data/1779474/000114036121008222/nt10018014x2_s4a.htm
